Verb,Noun,Labels
eat,camera,['L']
absorb,tax,"['N', 'N']"
attack,supporter,"['L', 'L']"
kill,million,"['L', 'L', 'L', 'L']"
knock,thing,"['N', 'N', 'L']"
fix,it,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'L', 'N', 'L', 'L', 'L', 'L']"
roll,model,['N']
attack,them,['L']
drink,stuff,['L']
pump,power,"['L', 'L']"
miss,deadline,"['N', 'N', 'N', 'L', 'L', 'L']"
examine,oversight,['N']
lend,friend,['L']
flourish,best,['N']
grab,piece,"['N', 'N']"
flood,country,"['N', 'L', 'L']"
smooth,relation,"['N', 'N']"
kick,chair,['L']
grasp,precept,['N']
knock,program,['L']
target,Aeronautics,['L']
plant,percentage,"['L', 'L']"
rest,Ward,['N']
plant,fence-row,"['L', 'L']"
kick,intervention,['N']
knock,mansion,['N']
fill,tank,['L']
grasp,problem,['N']
escape,attention,['N']
grab,flesh,['L']
kill,Angolans,['L']
miss,beginning,['L']
attack,menace,['L']
touch,month,['L']
roll,egg,['N']
fix,thing,"['N', 'N']"
lend,equal,['L']
strike,tax,['L']
knock,market,"['L', 'L']"
assault,demonstrator,['N']
miss,piece,['N']
knock,firefighter,['L']
lend,piece,['L']
rest,platform,['N']
melt,ornament,['L']
attack,Community,['N']
strike,100,['L']
lend,slice,['L']
pump,cash,"['N', 'N', 'N', 'L', 'L']"
plow,course,['L']
attack,firm,['N']
escape,competition,['N']
examine,concept,['N']
target,money,['N']
strike,bargain,"['N', 'L']"
strike,Matra,['N']
strike,area,['L']
assault,Times,['L']
lend,Street,['L']
attack,this,['L']
dissolve,side,['N']
knock,knock-off,['N']
examine,impact,['L']
kick,season,['N']
fix,which,"['L', 'L']"
roll,standard,['N']
rest,controversy,['N']
absorb,debt,['N']
miss,accomplishment,['N']
drink,salute,['L']
drink,Walker,"['L', 'L']"
smooth,process,['N']
drag,company,['N']
drink,glass,"['L', 'N']"
target,protein,['N']
examine,pro,['L']
strike,edifice,['N']
fill,rack,['L']
smooth,consistency,['L']
miss,book,['L']
attack,insect,['N']
assault,request,['N']
fix,handful,['L']
examine,document,"['N', 'L']"
stick,hand,['N']
fill,press,['N']
target,it,"['N', 'N']"
touch,base,['L']
kick,fanny,['N']
pump,trouble,['N']
lend,Stocks,['L']
assault,Gorbachev,['N']
melt,it,"['N', 'N', 'L']"
absorb,flood,['L']
kill,proposal,['N']
drag,indicator,['N']
pour,round,['L']
grab,cab,['L']
melt,scrap,['L']
ride,home,['L']
stick,men,['N']
touch,high,"['N', 'N', 'N']"
escape,rule,['L']
lend,million,['L']
touch,friend,['N']
target,one,['N']
destroy,mineral,['L']
grab,business,"['N', 'N']"
examine,accident,['N']
dissolve,one,['N']
kill,Arabs,"['L', 'L', 'L']"
attack,Republicans,['L']
knock,currency,['L']
roll,German,['L']
pour,sum,"['N', 'N', 'N']"
stumble,mention,['N']
kill,soldier,"['L', 'L', 'L']"
kick,you,"['N', 'N']"
plant,which,"['N', 'L', 'L']"
destroy,marrow,['N']
target,rate,"['N', 'L']"
roll,line,"['N', 'N', 'N', 'N', 'N', 'L', 'L']"
drag,development,['N']
roll,conquest,['N']
plant,time,['L']
fly,patrol,['L']
destroy,fall,['N']
escape,system,['L']
attack,financing,['N']
flood,bank,"['N', 'L']"
flood,grocer,['L']
pump,water,"['N', 'L', 'L', 'L']"
kill,giant,['N']
attack,effort,"['N', 'N']"
destroy,apartheid,['N']
drag,train,['L']
strike,analyst,['N']
target,Farmers,['N']
kill,system,['L']
strike,reinforcement,['N']
miss,that,['L']
destroy,secrecy,['L']
grab,text,['N']
touch,Missy,['N']
touch,Security,['L']
lend,13,['L']
fix,cavity,['L']
drink,brand,['L']
miss,Olson,['L']
strike,rule,['L']
escape,scrutiny,"['L', 'L']"
attack,crocus,['L']
examine,exotica,['N']
examine,book,"['N', 'L', 'L']"
drag,fund,['N']
escape,disaster,['N']
dissolve,contract,['N']
attack,accord,['N']
assault,woman,"['L', 'L', 'L', 'L']"
attack,Mitterrand,['N']
cool,trading,['N']
eat,cake,['L']
drag,heel,"['N', 'N', 'N', 'N']"
touch,market,['N']
miss,story,['L']
destroy,painting,['L']
drink,dop,['N']
cool,boom,['N']
smooth,spot,['N']
absorb,cost,"['N', 'N', 'N', 'N', 'L', 'L', 'L']"
destroy,Israel,['L']
knock,gene,['N']
smooth,it,"['N', 'N']"
eat,pork,['N']
assault,man,['L']
knock,the,['L']
eat,chicken,['L']
roll,Dukakis,['N']
miss,part,['L']
pump,move,['N']
miss,ingredient,['N']
grab,$,['L']
flood,they,"['N', 'L']"
melt,Belarus,['L']
lend,hundred,['L']
smooth,much,['N']
miss,work,"['N', 'L', 'L']"
escape,bar,['N']
eat,bar,['N']
dissolve,partnership,"['N', 'N', 'L', 'L']"
ride,trail,['N']
knock,He,['L']
attack,Congress,['N']
miss,uptick,['L']
knock,corner,['N']
attack,legislation,['N']
stick,he,"['N', 'N', 'N']"
smooth,transition,"['N', 'N', 'L']"
lend,firm,['L']
grab,audience,"['N', 'L']"
attack,intention,['L']
strike,bottom,['N']
cool,equipment,"['L', 'L']"
knock,fish,['N']
absorb,selling,['N']
step,spiel,['N']
examine,home,['L']
plow,time,['L']
roll,version,['N']
target,region,['L']
kill,attendant,"['L', 'L']"
grasp,check,['L']
ride,it,['L']
destroy,guy,['L']
touch,buying,"['N', 'N', 'L']"
smooth,career,['N']
step,criticism,"['N', 'N']"
dissolve,facility,['N']
kill,flier,['L']
ride,subway,['L']
kill,three,['L']
lend,RJR,['L']
pour,gasoline,"['L', 'N']"
fix,institution,['L']
sleep,two,['L']
roll,mill,['L']
pump,steam,['L']
drag,foot,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
examine,room,['L']
examine,%,['N']
pump,Wyoming,['L']
pump,oil,"['L', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L', 'L']"
vaporize,tumor,['N']
melt,which,['L']
destroy,unit,['L']
grab,outlet,['N']
grab,lead,['N']
fill,life,['N']
step,Research,['N']
flood,insurer,['L']
cool,pressure,"['N', 'N']"
touch,trading,['N']
melt,statue,"['N', 'N']"
wither,tree,['L']
eat,habit,['L']
pump,vigor,['N']
escape,burden,"['N', 'N']"
knock,Co.,"['N', 'N']"
flood,U.S.,"['N', 'N']"
target,economy,['N']
target,instance,['N']
kick,Anheuser,['N']
attack,Jalalabad,['L']
kick,Jim,['N']
kill,protester,['L']
attack,deficit,"['N', 'N']"
cool,overheating,['N']
eat,kilogram,"['L', 'L']"
grasp,essential,['N']
miss,'em,['L']
eat,dirt,['N']
drown,themselves,['N']
destroy,morale,['N']
touch,life,['L']
plow,revenue,['N']
ride,roller-coaster,['L']
ride,herd,['N']
absorb,production,['L']
dissolve,board,['N']
grab,everything,['N']
kill,bill,"['L', 'L']"
dance,Penitent,['N']
touch,something,['N']
knock,trading,['N']
fill,post,"['L', 'L', 'L', 'L', 'L', 'L', 'L']"
kick,water,['L']
grab,cylinder,['L']
dissolve,week,"['N', 'N']"
absorb,%,"['N', 'N', 'L', 'L']"
rest,soul,['N']
stick,traveler,"['N', 'N']"
drag,offense,['N']
pour,labor,['N']
roll,partnership,"['N', 'N']"
pour,14,['N']
kick,campaign,"['N', 'N', 'N']"
pour,wine,['L']
grasp,pitchfork,['L']
step,ladder,['L']
absorb,Me.T.A,"['N', 'N']"
miss,greedseekers,['N']
knock,item,['N']
escape,trap,['N']
cool,obsession,['N']
assault,who,['L']
escape,risk,['N']
destroy,company,"['N', 'N', 'L']"
miss,What,['L']
target,10,['N']
grab,bag,['N']
drag,economy,"['N', 'N']"
attack,leader,['L']
eat,word,"['N', 'L', 'L']"
touch,contest,['N']
fix,many,['L']
eat,any,['L']
grasp,air,['L']
fill,bill,['N']
assault,one,['L']
absorb,people,['N']
grab,roll,['L']
destroy,prospect,['L']
destroy,you,['L']
fly,formation,['L']
drink,milk,"['N', 'L', 'L']"
touch,arm,['L']
knock,one,"['N', 'N']"
knock,amendment,"['N', 'N']"
target,type,['N']
destroy,that,['L']
roll,Mall,['L']
absorb,pressure,['N']
roll,CDs,['N']
destroy,home,"['N', 'L', 'L', 'L']"
plow,Much,['N']
destroy,kind,['N']
melt,snow,['L']
plant,tree,"['L', 'L', 'L', 'L', 'L']"
step,coverage,['L']
kill,residing,['L']
attack,Eddy,['L']
drag,distance,['L']
roll,issue,['N']
strike,we,"['N', 'L']"
grab,protein,['N']
drag,thing,['N']
fix,level,['L']
drag,price,"['N', 'N', 'N', 'N', 'N', 'N', 'L', 'L']"
target,service,['L']
drink,bitter,['N']
grasp,it,"['L', 'L', 'L']"
eat,fruit,['L']
kick,people,['N']
absorb,most,['L']
drag,result,['N']
ride,freight,['L']
attack,promiscuity,['L']
pump,%,['L']
destroy,chapel,['L']
pump,blood,"['L', 'L']"
grab,proposal,['N']
attack,competition,['N']
dance,hula,"['L', 'L']"
roll,them,"['N', 'N']"
absorb,which,['L']
stick,Pulte,['N']
touch,run,['L']
assault,her,['L']
strike,plant,"['L', 'L', 'L']"
examine,behavior,['L']
miss,essential,['N']
kill,47,['L']
attack,type,['N']
kick,hole,['L']
eat,food,"['L', 'L', 'L']"
target,market,['L']
kick,question,['L']
destroy,all,['L']
eat,young,"['N', 'L']"
cool,complaint,['N']
pump,Pentagon,['N']
knock,cover,['N']
attack,asset,['N']
pump,crude,"['N', 'L', 'L']"
examine,suit,['L']
touch,economic,['L']
examine,competition,['N']
lend,engineer,['L']
eat,stuff,['L']
dissolve,agreement,"['N', 'N', 'N', 'N']"
drink,champagne,['L']
roll,eye,"['L', 'L', 'L', 'N']"
drag,woman,['L']
kick,it,['N']
attack,group,"['L', 'L']"
eat,dinner,['N']
dissolve,Armee,['N']
fly,7,['L']
attack,cow,['N']
strike,coin,['L']
fly,757s,['N']
strike,terror,['N']
drag,performance,"['N', 'N']"
pour,dipper,"['L', 'L']"
plant,oat,"['L', 'L']"
fill,u,['N']
smooth,cycle,['N']
pour,money,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L', 'L']"
pour,face,['N']
fill,They,['L']
attack,board,['L']
miss,gain,['L']
besiege,who,['N']
target,first,['N']
eat,part,['L']
destroy,institution,['N']
fly,head,['L']
kill,Shoreham,['N']
flow,way,['N']
grasp,principle,"['N', 'L']"
target,customer,"['N', 'N']"
fly,flag,"['L', 'L', 'L']"
dissolve,fragment,['L']
flood,saving,['N']
grab,publicity,['L']
destroy,Meese,['N']
cool,craze,['N']
dissolve,clot,"['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']"
escape,slowdown,['N']
grasp,lead,['L']
fill,them,"['N', 'L']"
drink,lot,"['N', 'L', 'L']"
examine,both,['N']
miss,Moscow,['L']
kill,deal,['N']
absorb,carrier,['N']
attack,Askew,['L']
touch,decline,"['L', 'L']"
examine,disclosure,['L']
