verb,noun,tag,confidence
underlie,earl,L,0.1
underlie,japan,L,0.1
underlie,country,L,0.1
underlie,cast,L,0.1
underlie,deposit,L,0.1
underlie,impulse,L,0.1
underlie,william,L,0.1
underlie,bridge,L,0.1
underlie,street,L,0.1
underlie,issue,L,0.1
underlie,desire,L,0.1
underlie,father,L,0.1
underlie,mortgage,L,0.1
underlie,israel,L,0.1
underlie,russian,L,0.1
underlie,russia,L,0.1
underlie,china,L,0.1
underlie,instinct,L,0.1
underlie,american,L,0.1
underlie,emotion,L,0.1
underlie,kingdom,L,0.1
underlie,division,L,0.1
underlie,pair,L,0.1
underlie,credit,L,0.1
underlie,tile,L,0.1
underlie,band,L,0.1
underlie,finance,L,0.1
underlie,princess,L,0.1
underlie,king,L,0.1
underlie,passion,L,0.1
underlie,prince,L,0.1
underlie,jurisdiction,L,0.1
underlie,germany,L,0.1
underlie,leadership,L,0.1
underlie,state,L,0.1
underlie,nation,L,0.1
underlie,strip,L,0.1
underlie,unit,L,0.1
underlie,loan,L,0.1
underlie,cluster,L,0.1
underlie,fear,L,0.1
underlie,curiosity,L,0.1
underlie,coffin,L,0.1
underlie,politician,L,0.1
underlie,accuracy,L,0.1
underlie,enthusiasm,L,0.1
underlie,stone,L,0.1
underlie,piece,L,0.1
underlie,hostility,L,0.1
underlie,sister,L,0.1
underlie,anxiety,L,0.1
underlie,debt,L,0.1
underlie,insurance,L,0.1
underlie,feeling,L,0.1
underlie,doubt,L,0.1
underlie,minority,L,0.1
underlie,suspicion,L,0.1
underlie,boss,L,0.1
underlie,brick,L,0.1
underlie,black,L,0.1
underlie,garment,L,0.1
underlie,rock,L,0.1
underlie,ownership,L,0.1
underlie,party,L,0.1
underlie,aspect,L,0.1
underlie,resident,L,0.1
underlie,inhabitant,L,0.1
underlie,household,L,0.1
underlie,friend,L,0.1
underlie,collection,L,0.1
underlie,category,L,0.1
underlie,wife,L,0.1
underlie,suit,L,0.1
underlie,layer,L,0.1
underlie,family,L,0.1
underlie,rank,L,0.1
underlie,gear,L,0.1
underlie,uniform,L,0.1
underlie,youngster,L,0.1
underlie,block,L,0.1
underlie,refugee,L,0.1
underlie,lover,L,0.1
underlie,cousin,L,0.1
underlie,mother,L,0.1
underlie,peasant,L,0.1
underlie,mask,L,0.1
underlie,dress,L,0.1
underlie,miner,L,0.1
underlie,hundred,L,0.1
underlie,class,L,0.1
underlie,metal,L,0.1
underlie,remains,L,0.1
underlie,clothes,L,0.1
underlie,let,L,0.1
underlie,group,L,0.1
underlie,supporter,L,0.1
underlie,smile,L,0.1
underlie,effectiveness,L,0.1
underlie,queen,L,0.1
underlie,french,L,0.1
underlie,scot,L,0.1
underlie,opponent,L,0.1
underlie,edward,L,0.1
underlie,grin,L,0.1
underlie,adult,L,0.1
underlie,validity,L,0.1
underlie,farmer,L,0.1
underlie,parent,L,0.1
underlie,faction,L,0.1
underlie,daughter,L,0.1
underlie,iraq,L,0.1
underlie,ally,L,0.1
underlie,republic,L,0.1
underlie,colony,L,0.1
underlie,voter,L,0.1
underlie,christian,L,0.1
underlie,husband,L,0.1
underlie,brother,L,0.1
underlie,charles,L,0.1
underlie,fabric,L,0.1
underlie,elizabeth,L,0.1
underlie,patient,L,0.1
underlie,bone,L,0.1
underlie,richard,L,0.1
underlie,relative,L,0.1
underlie,theme,L,0.1
underlie,subject,L,0.1
underlie,student,L,0.1
underlie,pupil,L,0.1
underlie,individual,L,0.1
underlie,participant,L,0.1
underlie,duke,L,0.1
