confidence,result,source,target,text
0.0,False,absorb,%,"Another option will be to try to curb the growth in education and other local assistance , which absorbs 66 % of the state 's budget "
0.0,False,absorb,lot,"But in the short-term it will absorb a lot of top management 's energy and attention , '' says Philippe Haspeslagh , a business professor at the European management school , Insead , in Paris "
0.0,False,absorb,service,"That merger , valued at about $ 1 billion , helped fuel a succession of financial marriages in which brokerage firms were absorbed by larger , diversified financial services companies "
0.0,False,absorb,adjustment,Shocks from one-time changes in the terms of trade should be absorbed by adjustments in exchange-rate terms -- not price levels 
0.0,False,absorb,people,"R.J. Reynolds Tobacco Co. has been a rich , fat operation , which absorbed 400 people from the old corporate headquarters staff with hardly a burp "
0.0,False,absorb,share,"Taxes ca n't keep rising faster than the incomes of taxpayers , or the government would absorb an ever-increasing share of private incomes , destroying incentives "
1.0,False,destroy,incentive,"Taxes ca n't keep rising faster than the incomes of taxpayers , or the government would absorb an ever-increasing share of private incomes , destroying incentives "
0.0,False,absorb,carrier,"During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft "
0.0,False,absorb,chili,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag "
0.0,False,absorb,quarter,"They stressed that many of the costs absorbed this quarter , such as the firing up of USX 's Fairfield facility , will be a benefit later on "
0.0,False,pass,customer,"Also , the government was charged for development costs that Sundstrand either should have passed on to private customers or absorbed , Mr. Valukas said "
0.0,False,absorb,Mr.,"Also , the government was charged for development costs that Sundstrand either should have passed on to private customers or absorbed , Mr. Valukas said "
0.0,False,absorb,Stevens,The decline resulted from costs of absorbing Stevens and from a marketing miscue in Arrow shirts 
0.0,False,absorb,worker,Mr. Wyss of Data Resources suggested that factories may be having difficulty hiring new workers at a time of such low unemployment or may simply not be able to absorb as many new workers as they would like 
0.0,False,absorb,portion,"Management of three of the five highest yielding general purpose funds , as ranked by the Donoghue Organization , absorb a portion of fund expenses "
0.0,False,absorb,%,WestFed will absorb 20 % of the first $ 35 million of losses on the sale of those assets 
0.0,False,absorb,blow,"Meanwhile , Democratic nominee Michael Dukakis -- after a month of absorbing Republican blows on his patriotism and being portrayed as a big taxer -- tried to gain the offensive with an old Democratic chestnut: the Republicans are going to take away your Social Security "
0.0,False,absorb,-LRB-,"It 's so expensive to be over there , and if you have to absorb -LRB- overhead -RRB- expenses while operating at a loss , it 's going to make things very hard , '' he said "
0.0,False,absorb,tariff,"And even when that loophole was closed , in 1980 , the Japanese decided to absorb the tariff rather than boost prices "
0.0,False,absorb,approach,"While the rest of the nation watched with mere curiosity or slight concern , the nation 's fourth-largest city was thoroughly absorbed by the approach of Hurricane Gilbert "
0.0,False,absorb,loss,"The Lloyd 's market will absorb roughly half the estimated $ 1.4 billion in losses from the Piper Alpha disaster , he said "
0.0,False,absorb,%,"Aside from the cash , the Federal Home Loan Bank Board 's insurance arm will guarantee a return on bad assets and absorb 75 % of the first $ 2.7 million of capital losses on certain bad assets and then absorb all losses beyond that for five years "
0.0,False,absorb,loss,"Aside from the cash , the Federal Home Loan Bank Board 's insurance arm will guarantee a return on bad assets and absorb 75 % of the first $ 2.7 million of capital losses on certain bad assets and then absorb all losses beyond that for five years "
0.0,False,absorb,Iniziativa,The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me.T.A 
0.0,False,absorb,loss,"In addition , legal disputes appear to be brewing over who will absorb the growing losses associated with the recall , as well as product-liability claims "
0.0,False,absorb,bulk,"Remics are absorbing the bulk of newly issued mortgage securities as institutional buyers , such as thrifts and insurance companies , prefer the more tailored investment features of structured mortgage securities to the greater payment uncertainties of ordinary pass-throughs issued by Ginnie Mae , Freddie Mac and Fannie Mae "
0.0,False,absorb,cost,Chrysler says it will absorb the costs of making air bags standard equipment until at least 1990 ; it wo n't say how high it will push prices when it eventually does start charging for the feature 
0.0,False,absorb,acquisition,"Prime Computer Inc . , as expected , reported a sharp earnings decline because of a write-off and costs related to absorbing an acquisition during its second quarter ended July 4 "
0.0,False,absorb,teaching,"While Islam converted people , it disseminated its knowledge to them and at the same time , it absorbed the teachings of others "
0.0,False,absorb,loss,"The company has slugged its way out of the economic doldrums , piling up $ 624 million in earnings from 1985 to 1987 after absorbing unprecedented losses of $ 953 million from 1982 to 1984 "
0.0,False,absorb,kind,"Some companies are better positioned than others to absorb these kinds of margin pressures , '' she says "
0.0,False,absorb,American,"Chrysler also is incurring costs from accelerating product-development programs , and from absorbing American Motors Corp . , which it bought last year "
0.0,False,absorb,half,"The House-passed version also includes the 4 % raise , but would require agencies to absorb only half of the cost "
0.0,False,absorb,Catholic,"In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church "
0.0,False,absorb,setback,"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short-term setbacks "
0.0,False,absorb,cost,"We 've been absorbing the costs for some time , '' the spokesman said "
0.0,False,absorb,market,Brokers said the new 10-year bond to be floated by the Bonn government will be absorbed only slowly by the market 
0.0,False,absorb,American,"Mr. Iacocca said at the annual meeting that other factors also are hurting second-quarter profit , including additional research-and-development spending , the recently negotiated new contract with the United Auto Workers union and the cost of absorbing American Motors Corp . , which Chrysler acquired last year "
0.0,False,absorb,lot,"Locals absorbed a lot of losses , '' said Mr. Sandor of Drexel "
0.0,False,absorb,pay,"The cost , about $ 250 a month , absorbs almost a third of her $ 1 , 400 monthly take-home pay "
0.0,False,absorb,selling,"When the market absorbs heavy selling , as this one did , and still comes back , it indicates to me that it wants to go higher , '' Mr. Radoccia said "
0.0,False,absorb,influx,"Jordan , with a flagging economy and a 4.2 % annual birth-rate , could n't absorb another influx of refugees no matter how sympathetically it viewed their plight "
0.0,False,absorb,De,"Some diamond analysts said dealers may find it difficult to absorb De Beers latest price increase , particularly since it followed a 10 % rise in prices in early October "
0.0,False,absorb,press,"Mr. Jackson has absorbed whatever the press will give him , the useful along with the condescending "
0.0,False,absorb,loss,"And Bank Board Chairman Danny Wall says that , by getting hefty shares of profit and stock if Pelican turns around , the board will `` share on the up-side , '' rather than just bearing the risk of absorbing further losses "
0.0,False,absorb,church,"The Monitor 's losses are absorbed by the church 's working fund , which reportedly has declined during the past two years to about $ 200 million from more than $ 280 million , largely because of the stock-market crash "
0.0,False,absorb,poorer,"The difference: An ever wealthier South Korea can imagine absorbing the poorer , less-populated Communist North , but Taiwan , no matter how rich , would be swallowed whole by the massive Chinese mainland "
0.0,False,absorb,loss,"Burt Sugarman , chairman of the cement company , said third-quarter earnings were hurt by unrealized losses on stocks in its investment portfolio of about $ 2 million , and by having to absorb about $ 3.9 million of a $ 6.9 million net loss recently posted by Barris Industries Inc. with no associated tax benefits "
0.0,False,absorb,Samsung,"Emulating Japan 's broad-based conglomerates , Samsung Electronics Co. will officially absorb Samsung Semiconductor & Telecommunications Co "
