Verb,Noun,Labels
assault,man,['L']
assault,people,['N']
assault,street,['L']
assault,building,['N']
assault,they,"['L', 'L']"
assault,woman,"['L', 'L', 'L', 'L']"
assault,Times,['L']
assault,wife,['L']
assault,marshal,['L']
assault,audience,['N']
assault,stronghold,['N']
assault,liberal,['N']
assault,request,['N']
assault,right,['L']
assault,her,['L']
assault,demonstrator,['N']
assault,House,['L']
assault,worker,['L']
assault,Gorbachev,['N']
assault,he,['L']
assault,side,['N']
assault,confidence,['N']
assault,who,['L']
assault,one,['L']
assault,African,['L']
