Verb,Noun,Label,Confidence
kill,newspaper,N,1.0
kill,proposal,N,1.0
lend,friend,L,1.0
attack,supporter,L,1.0
knock,program,L,1.0
eat,camera,L,1.0
target,black,N,1.0
fill,movie,N,1.0
sleep,hour,L,1.0
rest,platform,N,1.0
touch,crash,N,1.0
pump,power,L,1.0
miss,hint,L,1.0
ride,horse,L,1.0
flourish,best,N,1.0
grab,piece,N,1.0
flood,country,L,0.6666666666666666
stick,head,L,0.5
smooth,relation,N,1.0
kick,chair,L,1.0
destroy,fall,N,1.0
kill,million,L,1.0
eat,part,L,1.0
plant,percentage,L,1.0
drown,critic,N,1.0
examine,return,L,1.0
stick,death,N,1.0
knock,ratio,N,1.0
target,sector,N,1.0
grasp,problem,N,1.0
attack,appeal,N,1.0
touch,thing,N,1.0
grab,flesh,L,1.0
touch,dollar,N,1.0
miss,beginning,L,1.0
smooth,sand,L,1.0
pump,price,N,0.6666666666666666
knock,market,L,1.0
eat,convention,L,1.0
fill,hole,N,1.0
fix,building,N,1.0
miss,piece,N,1.0
fill,statement,N,1.0
pour,wine,L,1.0
escape,trap,N,1.0
lend,slice,L,1.0
pump,cash,N,0.6
attack,firm,N,1.0
escape,competition,N,1.0
examine,concept,N,1.0
target,money,N,1.0
stick,minority,N,1.0
eat,fruit,L,1.0
strike,area,L,1.0
destroy,chapel,L,1.0
destroy,equipment,L,1.0
dissolve,side,N,1.0
strike,agreement,L,0.5
examine,impact,L,1.0
kick,season,N,1.0
roll,standard,N,1.0
kill,people,L,0.9259259259259259
ride,boat,N,1.0
drag,result,N,1.0
pour,face,N,1.0
miss,boom,N,1.0
cool,need,N,1.0
smooth,process,N,1.0
touch,order,L,1.0
drink,glass,L,0.5
target,protein,N,1.0
pour,side,N,1.0
miss,book,L,1.0
attack,insect,N,1.0
flood,newspaper,N,1.0
examine,document,L,0.5
stick,hand,N,1.0
lend,momentum,N,1.0
destroy,equivalent,L,1.0
attack,victim,L,1.0
pump,trouble,N,1.0
lend,claim,L,1.0
flood,university,N,1.0
step,appearance,N,1.0
drag,block,L,1.0
miss,mark,N,1.0
knock,block,N,1.0
pour,round,L,1.0
attack,country,L,1.0
escape,rule,L,1.0
lend,million,L,1.0
miss,factor,L,1.0
miss,start,L,1.0
pour,criticism,N,1.0
touch,friend,N,1.0
grab,business,N,1.0
examine,accident,N,1.0
eat,crop,L,1.0
rain,inch,L,1.0
cool,relationship,N,1.0
kill,soldier,L,1.0
sleep,while,L,1.0
target,cell,N,1.0
fix,case,N,1.0
kick,land,N,1.0
plant,time,L,1.0
eat,percentage,N,1.0
step,ladder,L,1.0
ride,home,L,1.0
target,user,L,1.0
