Verb,Noun,Labels
absorb,tax,"['N', 'N']"
absorb,debt,['N']
absorb,flood,['L']
absorb,cost,"['N', 'N', 'N', 'N', 'L', 'L', 'L']"
absorb,selling,['N']
absorb,production,['L']
absorb,%,"['N', 'N', 'L', 'L']"
absorb,Me.T.A,"['N', 'N']"
absorb,people,['N']
absorb,pressure,['N']
absorb,most,['L']
absorb,which,['L']
absorb,carrier,['N']
absorb,technology,['N']
absorb,adult,['L']
absorb,rest,['N']
absorb,portion,['N']
absorb,employee,['N']
absorb,rise,['L']
absorb,Corp,"['N', 'N']"
absorb,some,"['N', 'L', 'L']"
absorb,worker,"['L', 'L']"
absorb,work,['N']
absorb,supply,['L']
absorb,shock,['N']
absorb,announcement,['L']
absorb,program,['L']
absorb,chili,['N']
absorb,shortfall,"['N', 'N']"
absorb,revenue,['N']
absorb,foot,['L']
absorb,increase,"['N', 'L']"
absorb,bond,['N']
absorb,firm,['N']
absorb,kind,['N']
absorb,MBB,['L']
absorb,many,"['N', 'N']"
absorb,power,['L']
absorb,four-fifths,['N']
absorb,$,"['N', 'N', 'N', 'N']"
absorb,sunlight,"['L', 'L']"
absorb,acquisition,['N']
absorb,setback,['N']
absorb,third,['N']
absorb,incinerator,['N']
absorb,liquid,['L']
absorb,loss,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'L', 'L']"
absorb,North,['N']
absorb,half,['N']
absorb,expense,['N']
absorb,manpower,['N']
absorb,them,"['N', 'L', 'L', 'L']"
absorb,news,"['N', 'N']"
absorb,that,['N']
absorb,space,['N']
absorb,light,"['L', 'L']"
absorb,one,['N']
absorb,punishment,['L']
absorb,immigrant,['L']
absorb,force,['N']
absorb,lot,"['N', 'N']"
absorb,mark,['L']
absorb,share,"['N', 'L']"
absorb,balance,['N']
absorb,thrift,['N']
absorb,Shocks,['N']
absorb,all,"['N', 'N']"
absorb,it,"['N', 'N']"
absorb,reserve,['N']
absorb,penalty,['L']
absorb,moisture,['L']
absorb,bulk,['N']
absorb,community,['N']
absorb,blow,"['N', 'N']"
absorb,influx,['N']
absorb,capacity,['L']
absorb,teaching,['N']
absorb,Church,['N']
absorb,inventory,['N']
absorb,tariff,['N']
absorb,sulfur,['L']
absorb,Most,['N']
absorb,boost,['L']
absorb,Stevens,['N']
absorb,those,['L']
absorb,activity,['N']
absorb,more,"['N', 'L', 'L']"
absorb,quantity,"['L', 'L']"
absorb,majority,"['N', 'N']"
assault,demonstrator,['N']
assault,Times,['L']
assault,request,['N']
assault,Gorbachev,['N']
assault,woman,"['L', 'L', 'L', 'L']"
assault,man,['L']
assault,who,['L']
assault,one,['L']
assault,her,['L']
assault,they,"['L', 'L']"
assault,confidence,['N']
assault,House,['L']
assault,marshal,['L']
assault,worker,['L']
assault,liberal,['N']
assault,wife,['L']
assault,he,['L']
assault,building,['N']
assault,street,['L']
assault,African,['L']
assault,side,['N']
assault,audience,['N']
assault,people,['N']
assault,stronghold,['N']
assault,right,['L']
attack,supporter,"['L', 'L']"
attack,them,['L']
attack,menace,['L']
attack,Community,['N']
attack,firm,['N']
attack,this,['L']
attack,insect,['N']
attack,Republicans,['L']
attack,financing,['N']
attack,effort,"['N', 'N']"
attack,crocus,['L']
attack,accord,['N']
attack,Mitterrand,['N']
attack,Congress,['N']
attack,legislation,['N']
attack,intention,['L']
attack,Jalalabad,['L']
attack,deficit,"['N', 'N']"
attack,leader,['L']
attack,Eddy,['L']
attack,promiscuity,['L']
attack,competition,['N']
attack,type,['N']
attack,asset,['N']
attack,group,"['L', 'L']"
attack,cow,['N']
attack,board,['L']
attack,Askew,['L']
attack,platform,['L']
attack,law,['L']
attack,ticket,['L']
attack,village,['L']
attack,dissent,['N']
attack,that,['N']
attack,Lie,['N']
attack,mentality,['L']
attack,restrictiveness,['N']
attack,constitutionality,['N']
attack,King,['L']
attack,cook,['N']
attack,snag,['L']
attack,panel,['N']
attack,way,['N']
attack,prey,['N']
attack,ACLU,['N']
attack,troop,['L']
attack,camp,"['L', 'L', 'L']"
attack,grandmother,['L']
attack,journal,['N']
attack,method,['L']
attack,vessel,"['L', 'L']"
attack,tanker,"['L', 'L']"
attack,ball,['N']
attack,force,['L']
attack,rate,['N']
attack,he,['N']
attack,recapitalization,['L']
attack,trademark,['N']
attack,program,['N']
attack,cartilage,['N']
attack,Laboratory,['N']
attack,appeal,['N']
attack,Socalists,"['N', 'N']"
attack,practice,['N']
attack,motif,['L']
attack,victim,['L']
