verb,cluster,id,status,text
absorb,nonliteral,wsj02:2251,U,"Another option will be to try to curb the growth in education and other local assistance , which absorbs 66 % of the state 's budget "
absorb,nonliteral,wsj03:2839,N,"But in the short-term it will absorb a lot of top management 's energy and attention , '' says Philippe Haspeslagh , a business professor at the European management school , Insead , in Paris "
absorb,nonliteral,wsj03:9412,U,"That merger , valued at about $ 1 billion , helped fuel a succession of financial marriages in which brokerage firms were absorbed by larger , diversified financial services companies "
absorb,nonliteral,wsj04:10022,N,Shocks from one-time changes in the terms of trade should be absorbed by adjustments in exchange-rate terms -- not price levels 
absorb,nonliteral,wsj04:8152,U,"R.J. Reynolds Tobacco Co. has been a rich , fat operation , which absorbed 400 people from the old corporate headquarters staff with hardly a burp "
absorb,nonliteral,wsj05:10980,U,"Taxes ca n't keep rising faster than the incomes of taxpayers , or the government would absorb an ever-increasing share of private incomes , destroying incentives "
absorb,nonliteral,wsj05:5479,N,"During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft "
absorb,nonliteral,wsj05:7339,N,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag "
absorb,nonliteral,wsj06:1157,U,"They stressed that many of the costs absorbed this quarter , such as the firing up of USX 's Fairfield facility , will be a benefit later on "
absorb,nonliteral,wsj06:5718,U,"Also , the government was charged for development costs that Sundstrand either should have passed on to private customers or absorbed , Mr. Valukas said "
absorb,nonliteral,wsj06:7156,U,The decline resulted from costs of absorbing Stevens and from a marketing miscue in Arrow shirts 
absorb,nonliteral,wsj09:8023,N,Mr. Wyss of Data Resources suggested that factories may be having difficulty hiring new workers at a time of such low unemployment or may simply not be able to absorb as many new workers as they would like 
absorb,nonliteral,wsj11:1022,N,"Management of three of the five highest yielding general purpose funds , as ranked by the Donoghue Organization , absorb a portion of fund expenses "
absorb,nonliteral,wsj12:10373,U,WestFed will absorb 20 % of the first $ 35 million of losses on the sale of those assets 
absorb,nonliteral,wsj12:3384,N,"Meanwhile , Democratic nominee Michael Dukakis -- after a month of absorbing Republican blows on his patriotism and being portrayed as a big taxer -- tried to gain the offensive with an old Democratic chestnut: the Republicans are going to take away your Social Security "
absorb,nonliteral,wsj12:762,U,"It 's so expensive to be over there , and if you have to absorb -LRB- overhead -RRB- expenses while operating at a loss , it 's going to make things very hard , '' he said "
absorb,nonliteral,wsj13:9766,N,"And even when that loophole was closed , in 1980 , the Japanese decided to absorb the tariff rather than boost prices "
absorb,nonliteral,wsj14:7526,N,"While the rest of the nation watched with mere curiosity or slight concern , the nation 's fourth-largest city was thoroughly absorbed by the approach of Hurricane Gilbert "
absorb,nonliteral,wsj15:11128,U,"The Lloyd 's market will absorb roughly half the estimated $ 1.4 billion in losses from the Piper Alpha disaster , he said "
absorb,nonliteral,wsj16:8496,U,"Aside from the cash , the Federal Home Loan Bank Board 's insurance arm will guarantee a return on bad assets and absorb 75 % of the first $ 2.7 million of capital losses on certain bad assets and then absorb all losses beyond that for five years "
absorb,nonliteral,wsj18:10428,N,The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me.T.A 
absorb,nonliteral,wsj18:132,N,"If his style after the strikes of last May indicates anything , Gen. Jaruzelski has n't absorbed that "
absorb,nonliteral,wsj18:1993,U,"In addition , legal disputes appear to be brewing over who will absorb the growing losses associated with the recall , as well as product-liability claims "
absorb,nonliteral,wsj19:10993,N,"Remics are absorbing the bulk of newly issued mortgage securities as institutional buyers , such as thrifts and insurance companies , prefer the more tailored investment features of structured mortgage securities to the greater payment uncertainties of ordinary pass-throughs issued by Ginnie Mae , Freddie Mac and Fannie Mae "
absorb,nonliteral,wsj19:1640,U,Chrysler says it will absorb the costs of making air bags standard equipment until at least 1990 ; it wo n't say how high it will push prices when it eventually does start charging for the feature 
absorb,nonliteral,wsj23:11126,U,"Prime Computer Inc . , as expected , reported a sharp earnings decline because of a write-off and costs related to absorbing an acquisition during its second quarter ended July 4 "
absorb,nonliteral,wsj23:1861,U,"While Islam converted people , it disseminated its knowledge to them and at the same time , it absorbed the teachings of others "
absorb,nonliteral,wsj23:5188,U,"The company has slugged its way out of the economic doldrums , piling up $ 624 million in earnings from 1985 to 1987 after absorbing unprecedented losses of $ 953 million from 1982 to 1984 "
absorb,nonliteral,wsj25:4814,U,"Some companies are better positioned than others to absorb these kinds of margin pressures , '' she says "
absorb,nonliteral,wsj26:8818,U,"Chrysler also is incurring costs from accelerating product-development programs , and from absorbing American Motors Corp . , which it bought last year "
absorb,nonliteral,wsj30:4783,N,"The House-passed version also includes the 4 % raise , but would require agencies to absorb only half of the cost "
absorb,nonliteral,wsj32:3028,N,"In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church "
absorb,nonliteral,wsj33:10565,N,"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short-term setbacks "
absorb,nonliteral,wsj33:6252,U,"We 've been absorbing the costs for some time , '' the spokesman said "
absorb,nonliteral,wsj36:8242,U,Brokers said the new 10-year bond to be floated by the Bonn government will be absorbed only slowly by the market 
absorb,nonliteral,wsj38:248,U,"Mr. Iacocca said at the annual meeting that other factors also are hurting second-quarter profit , including additional research-and-development spending , the recently negotiated new contract with the United Auto Workers union and the cost of absorbing American Motors Corp . , which Chrysler acquired last year "
absorb,nonliteral,wsj38:6326,U,"Locals absorbed a lot of losses , '' said Mr. Sandor of Drexel "
absorb,nonliteral,wsj39:5600,N,"The cost , about $ 250 a month , absorbs almost a third of her $ 1 , 400 monthly take-home pay "
absorb,nonliteral,wsj39:9537,N,"When the market absorbs heavy selling , as this one did , and still comes back , it indicates to me that it wants to go higher , '' Mr. Radoccia said "
absorb,nonliteral,wsj40:2451,N,"Jordan , with a flagging economy and a 4.2 % annual birth-rate , could n't absorb another influx of refugees no matter how sympathetically it viewed their plight "
absorb,nonliteral,wsj42:3263,N,"Some diamond analysts said dealers may find it difficult to absorb De Beers latest price increase , particularly since it followed a 10 % rise in prices in early October "
absorb,nonliteral,wsj42:6837,N,"By 1983 he had become so absorbed in his quest that he resigned as China correspondent for The Wall Street Journal and spent much of the next four years in China visiting relatives , searching libraries and scrabbling through underbrush looking for grave sites "
absorb,nonliteral,wsj42:7514,N,"Mr. Jackson has absorbed whatever the press will give him , the useful along with the condescending "
absorb,nonliteral,wsj43:10075,U,"And Bank Board Chairman Danny Wall says that , by getting hefty shares of profit and stock if Pelican turns around , the board will `` share on the up-side , '' rather than just bearing the risk of absorbing further losses "
absorb,literal,wsj01:8268,N,"The Monitor 's losses are absorbed by the church 's working fund , which reportedly has declined during the past two years to about $ 200 million from more than $ 280 million , largely because of the stock-market crash "
absorb,literal,wsj02:10839,N,"The difference: An ever wealthier South Korea can imagine absorbing the poorer , less-populated Communist North , but Taiwan , no matter how rich , would be swallowed whole by the massive Chinese mainland "
absorb,literal,wsj03:1596,N,"In most instances , executives at the absorbed companies are the merger casualties , says Steven Potter of Russell Reynolds Associates "
absorb,literal,wsj03:4929,N,"Burt Sugarman , chairman of the cement company , said third-quarter earnings were hurt by unrealized losses on stocks in its investment portfolio of about $ 2 million , and by having to absorb about $ 3.9 million of a $ 6.9 million net loss recently posted by Barris Industries Inc. with no associated tax benefits "
absorb,literal,wsj04:7524,N,"Emulating Japan 's broad-based conglomerates , Samsung Electronics Co. will officially absorb Samsung Semiconductor & Telecommunications Co "
absorb,literal,wsj05:10824,N,"As a result , total investment from all sources , domestic and foreign , of about 16 % of gross national product is still way short of the 25 % analysts believe is needed to absorb a fast-expanding labor force "
absorb,literal,wsj06:4764,N,"Operations at metal and wood coffin manufacturing plants in Missouri , Indiana and Pennsylvania will remain open and , in fact , be expanded with additional shifts to absorb some of the workers and production idled elsewhere "
absorb,literal,wsj06:6076,N,"It 's the smile of a man who has wit , but is too absorbed to indulge himself in humor "
absorb,literal,wsj11:1363,L,"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur "
absorb,literal,wsj12:1723,N,He said that MMWEC will have to absorb only $ 4 million in additional annual costs now paid by the Vermont utilities 
absorb,literal,wsj13:11024,N,To expect banks to absorb a cost without a commensurate charge defies logic 
absorb,literal,wsj13:5126,N,Switzerland is an example of a country that has pursued a domestic price rule and achieved price stability while allowing fluctuations in the exchange rate to absorb real shocks 
absorb,literal,wsj15:10615,N,"At this year 's rate of $ 3.25 billion a month as tracked by IDD , it would take nearly four years for buy-outs to absorb $ 150 billion "
absorb,literal,wsj16:204,N,"While reconstruction projects may initially absorb many of the workers , the need to find work for men demobilized from Iraq 's million-strong army makes it unlikely that guest labor will remain at current levels "
absorb,literal,wsj16:6256,N,It had been long assumed that the agency would n't act until late on a Friday afternoon in order to give market participants a weekend to absorb the news 
absorb,literal,wsj17:500,N,"The peaceful absorption into the world economy and polity of nations now moving swiftly to absorb all the major technologies , a group including among others , China and India , Brazil and Mexico "
absorb,literal,wsj17:7979,L,The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light 
absorb,literal,wsj20:3923,N,"With its strength in the Old South , the Rocky Mountain and northern plains states and such dependable GOP bastions as Indiana , the party can absorb some losses and still accumulate close to 200 electoral votes "
absorb,literal,wsj21:345,N,The FDIC staff also noted that Wells Fargo would have given the agency no control over the selection and management of bad loans for which the agency would have to absorb all losses 
absorb,literal,wsj24:7703,N,"We 're talking about $ 50 billion to $ 60 billion of debt that the taxpayer will have to absorb , '' Emory University 's Mr. Benston says "
absorb,literal,wsj25:10084,N,The FDIC package would sharply boost the merged institution 's capital and give it a huge cushion to absorb future loan losses 
absorb,literal,wsj26:4332,N,"In spite of her wifely obligations -LRB- which ceased upon her official separation from Teddy in 1911 , followed by divorce -RRB- , her wealth and social standing allowed her to go where she pleased , read what she liked , and enjoy all she could absorb of a world that seemed to her to overflow with richness and beauty "
absorb,literal,wsj27:5326,N,In no case did expenditures rise enough after the war to absorb the revenue that would have been available if the war taxes had been retained 
absorb,literal,wsj27:5617,L,"This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas-relief "
absorb,literal,wsj28:3174,N,He added that employees who do n't move to the rival 's factory in Chicago probably will be absorbed by Bally 's growing fitness-equipment manufacturing businesses 
absorb,literal,wsj31:7147,N,"Most of these losses must be absorbed by the FSLIC , the industry 's insurer , analysts said "
absorb,literal,wsj33:11255,N,"It is the growth of the Hidden Economy -- these millions of small , private businesses -- that cushions the shock of a crashing Dow , that absorbs the workers cut loose by big firms when they restructure and that created most of those 17 million jobs "
absorb,literal,wsj33:217,N,"The market is absorbing all of the mill 's output of supercalender paper , '' Mr. Nugent said "
absorb,literal,wsj33:6601,N,Longtime American expatriates here like to recall what happened in the 1970s when Japan easily absorbed the same heavy body blows from the organization of Petroleum Exporting Countries that bring other developed nations to their knees 
absorb,literal,wsj33:8567,N,An early new accord would absorb the existing one 
absorb,literal,wsj35:3136,N,"GM ca n't continue to absorb indefinitely the large fixed costs represented by unused capacity , he says "
absorb,literal,wsj37:9748,N,"Nearly all of this growth is in the developing countries of Africa , Asia and Latin America , which are least capable of absorbing it , the report said "
absorb,literal,wsj38:4910,N,"Nearly four-fifths of this increase would be absorbed by the rising cost of Social Security benefits and the cost of keeping outlays for defense and education even with inflation , as Mr. Bush has proposed "
absorb,literal,wsj38:9064,N,"With its large stock of sober , muscular buildings , Chicago has been able to absorb Mr. Jahn 's work ; there , Xerox Centre 's sweeping curve of white metal and reflective glass , or One South Wacker 's long grids of pale pink and pale blue glass can seem like light relief . -LRB- For similar reasons , his recent Chryslerlike blue-glass tower can be accommodated in downtown Philadelphia -RRB- "
absorb,literal,wsj42:216,N,Anyone who spends a few hours reading his speeches and talking to Democrats familiar with his views learns quickly that Mr. Dukakis has absorbed many of the dovish obsessions of his party 's left 
absorb,literal,wsj43:10337,N,It said it expects to absorb `` the vast majority '' of those jobs in its private health-care business 
